,variant_and_allele,p_value,trait,gene
2227,rs401754-<b>T</b>,2e-21,schizophrenia,H2AC14
2228,rs16894116-<b>G</b>,2.9999999999999995e-21,schizophrenia,COX11P1
255,rs7766356-<b>?</b>,2.9999999999999995e-21,schizophrenia,ZSCAN23
1254,rs13198474-<b>G</b>,2.9999999999999997e-20,schizophrenia,SLC17A3
2229,rs115031589-<b>G</b>,2.9999999999999997e-20,schizophrenia,ZBED9
2230,rs115123027-<b>T</b>,4e-20,schizophrenia,SFTA2
2230,rs115123027-<b>T</b>,4e-20,schizophrenia,MUCL3
69,rs11191424-<b>G</b>,4e-20,schizophrenia,BORCS7-ASMT
2231,rs142536810-<b>C</b>,5e-20,schizophrenia,HSPA1A
2231,rs142536810-<b>C</b>,5e-20,schizophrenia,HSPA1B
2215,rs2007044-<b>?</b>,5.999999999999999e-20,schizophrenia,CACNA1C
2232,rs116509918-<b>G</b>,5.999999999999999e-20,schizophrenia,HLA-B
2232,rs116509918-<b>G</b>,5.999999999999999e-20,schizophrenia,LINC02571
1778,rs2596500-<b>A</b>,8e-20,schizophrenia,HLA-B
1778,rs2596500-<b>A</b>,8e-20,schizophrenia,LINC02571
2233,rs34104395-<b>C</b>,8.999999999999999e-20,schizophrenia,BTN1A1P1
346,rs2159100-<b>?</b>,1e-19,schizophrenia,CACNA1C
1207,rs114200269-<b>T</b>,2e-19,schizophrenia,MICC
1207,rs114200269-<b>T</b>,2e-19,schizophrenia,UBQLN1P1
2524,rs4298967-<b>?</b>,2e-19,schizophrenia,UNKNOWN
1009,rs1702294-<b>C</b>,3e-19,schizophrenia,UNKNOWN
2234,rs116396069-<b>C</b>,3e-19,schizophrenia,LINC00243
2234,rs116396069-<b>C</b>,3e-19,schizophrenia,LINC02570
54,rs2159100-<b>T</b>,3e-19,schizophrenia,CACNA1C
2235,rs77296290-<b>C</b>,4e-19,schizophrenia,HLA-DQB1
1309,rs9274623-<b>G</b>,6e-19,schizophrenia,HLA-DQB1
1036,rs11191419-<b>T</b>,6e-19,schizophrenia,BORCS7
1036,rs11191419-<b>T</b>,6e-19,schizophrenia,PTGES3P4
1300,rs67682613-<b>G</b>,6.999999999999999e-19,schizophrenia,NEU1
2236,rs149979052-<b>C</b>,6.999999999999999e-19,schizophrenia,PSORS1C1
405,rs7476192-<b>?</b>,9e-19,schizophrenia,AS3MT
405,rs7476192-<b>?</b>,9e-19,schizophrenia,BORCS7-ASMT
659,rs4298967-<b>A</b>,1e-18,schizophrenia,UNKNOWN
418,rs58120505-<b>?</b>,1e-18,schizophrenia,UNKNOWN
2216,rs10650434-<b>?</b>,1e-18,schizophrenia,MAD1L1
2514,rs7085104-<b>?</b>,2e-18,schizophrenia,UNKNOWN
2238,rs35741362-<b>T</b>,2e-18,schizophrenia,LINC00240
256,rs12244388-<b>?</b>,2e-18,schizophrenia,AS3MT
256,rs12244388-<b>?</b>,2e-18,schizophrenia,BORCS7-ASMT
2237,rs115406947-<b>G</b>,2e-18,schizophrenia,HLA-DRB9
2217,rs2660304-<b>?</b>,2e-18,schizophrenia,MIR137HG
501,rs2949006-<b>?</b>,3.0000000000000002e-18,schizophrenia,UNKNOWN
1045,rs2007044-<b>G</b>,3.0000000000000002e-18,schizophrenia,CACNA1C
521,rs66691851-<b>?</b>,4e-18,schizophrenia,STAG1
938,rs1024582-<b>A</b>,6.0000000000000004e-18,schizophrenia,CACNA1C
68,rs1615350-<b>C</b>,6.0000000000000004e-18,schizophrenia,MPHOSPH9
2218,rs12416331-<b>?</b>,7e-18,schizophrenia,NT5C2
2219,rs58033671-<b>?</b>,9.000000000000001e-18,schizophrenia,TSNARE1
502,rs17592552-<b>?</b>,1e-17,schizophrenia,SPATS2L
1779,rs2660304-<b>T</b>,1e-17,schizophrenia,MIR137HG
939,rs7085104-<b>A</b>,1e-17,schizophrenia,UNKNOWN
258,rs1702294-<b>?</b>,1e-17,schizophrenia,UNKNOWN
2241,rs115344853-<b>A</b>,2e-17,schizophrenia,NOTCH4
2240,rs144373461-<b>C</b>,2e-17,schizophrenia,HLA-V
2240,rs144373461-<b>C</b>,2e-17,schizophrenia,IFITM4P
638,rs11191582-<b>A</b>,3e-17,schizophrenia,NT5C2
71,rs12668848-<b>G</b>,4e-17,schizophrenia,MAD1L1
60,rs10786736-<b>G</b>,4e-17,schizophrenia,CNNM2
60,rs10786736-<b>G</b>,4e-17,schizophrenia,NT5C2
1276,rs187696124-<b>T</b>,7e-17,schizophrenia,HLA-DRB9
2221,rs6065094-<b>?</b>,8e-17,schizophrenia,UNKNOWN
457,rs848293-<b>?</b>,9.000000000000001e-17,schizophrenia,VRK2
1849,rs2523722-<b>G</b>,1e-16,schizophrenia,TRIM26
2222,rs13107325-<b>?</b>,1e-16,schizophrenia,SLC39A8
436,rs1198588-<b>?</b>,1e-16,schizophrenia,NFU1P2
66,rs796364-<b>C</b>,2e-16,schizophrenia,RN7SL717P
66,rs796364-<b>C</b>,2e-16,schizophrenia,FTCDNL1
1752,rs10883832-<b>T</b>,2e-16,schizophrenia,NT5C2
2242,rs138488080-<b>G</b>,3e-16,schizophrenia,SUMO2P1
2242,rs138488080-<b>G</b>,3e-16,schizophrenia,MOG
1469,rs73396800-<b>G</b>,4e-16,schizophrenia,HLA-DMA
1469,rs73396800-<b>G</b>,4e-16,schizophrenia,HLA-DMB
2115,rs4144797-<b>?</b>,4e-16,schizophrenia,GIGYF2
2243,rs114618162-<b>G</b>,6e-16,schizophrenia,LINC01149
2141,rs2851447-<b>?</b>,6e-16,schizophrenia,MPHOSPH9
2244,rs114261345-<b>A</b>,9e-16,schizophrenia,FLOT1
432,rs11210892-<b>?</b>,1e-15,schizophrenia,PTPRF
432,rs11210892-<b>?</b>,1e-15,schizophrenia,KDM4A
470,rs4147157-<b>?</b>,1e-15,schizophrenia,WBP1L
455,rs4666990-<b>?</b>,2e-15,schizophrenia,ZNF804A
374,rs4702-<b>?</b>,2e-15,schizophrenia,FURIN
2117,rs12293670-<b>?</b>,2e-15,schizophrenia,UNKNOWN
2246,rs56275179-<b>G</b>,2e-15,schizophrenia,HFE
1033,rs4129585-<b>A</b>,2e-15,schizophrenia,UNKNOWN
2245,rs115687605-<b>C</b>,2e-15,schizophrenia,UBQLN1P1
2245,rs115687605-<b>C</b>,2e-15,schizophrenia,MICC
2461,rs1801133-<b>A</b>,4e-15,schizophrenia,MTHFR
1255,rs13217239-<b>T</b>,4e-15,schizophrenia,POM121L2
1454,rs62392365-<b>A</b>,4e-15,schizophrenia,CMAHP
1454,rs62392365-<b>A</b>,4e-15,schizophrenia,CARMIL1
77,rs66691851-<b>C</b>,4e-15,schizophrenia,STAG1
430,rs7785663-<b>?</b>,4e-15,schizophrenia,DGKI
404,rs3929747-<b>?</b>,5.000000000000001e-15,schizophrenia,C10orf95-AS1
524,rs4855019-<b>?</b>,6.0000000000000005e-15,schizophrenia,SOX2-OT
1007,rs35518360-<b>T</b>,8e-15,schizophrenia,BANK1
1007,rs35518360-<b>T</b>,8e-15,schizophrenia,SLC39A8
2143,rs12129573-<b>?</b>,9.000000000000001e-15,schizophrenia,RN7SKP19
2143,rs12129573-<b>?</b>,9.000000000000001e-15,schizophrenia,LINC01360
2247,rs144959664-<b>G</b>,1e-14,schizophrenia,ABCF1
2247,rs144959664-<b>G</b>,1e-14,schizophrenia,PPP1R10
1088,rs4391122-<b>G</b>,1e-14,schizophrenia,LINC02057
1397,rs2102949-<b>G</b>,2e-14,schizophrenia,MPHOSPH9
1051,rs2851447-<b>G</b>,2e-14,schizophrenia,MPHOSPH9
1610,rs281768-<b>A</b>,2e-14,schizophrenia,MAIP1
2119,rs6002655-<b>?</b>,2e-14,schizophrenia,TCF20
396,rs13262595-<b>?</b>,3e-14,schizophrenia,TSNARE1
2146,rs10083370-<b>?</b>,3e-14,schizophrenia,LINC00637
2145,rs4766428-<b>?</b>,3e-14,schizophrenia,ATP2A2
2091,rs79780963-<b>?</b>,3e-14,schizophrenia,NT5C2
259,rs11693528-<b>?</b>,3e-14,schizophrenia,FTCDNL1
259,rs11693528-<b>?</b>,3e-14,schizophrenia,RN7SL717P
516,rs2577831-<b>?</b>,3e-14,schizophrenia,PBRM1
429,rs214475-<b>?</b>,4e-14,schizophrenia,IMMP2L
2122,rs12704290-<b>?</b>,4e-14,schizophrenia,GRM3-AS1
2122,rs12704290-<b>?</b>,4e-14,schizophrenia,GRM3
400,rs1926026-<b>?</b>,4e-14,schizophrenia,CACNB2
2148,rs7701440-<b>?</b>,4e-14,schizophrenia,ZSWIM6
2148,rs7701440-<b>?</b>,4e-14,schizophrenia,LINC02057
2026,rs9834970-<b>?</b>,4e-14,schizophrenia,LINC02033
2026,rs9834970-<b>?</b>,4e-14,schizophrenia,HSPD1P6
2125,rs4936215-<b>?</b>,5e-14,schizophrenia,UNKNOWN
2124,rs5825114-<b>?</b>,5e-14,schizophrenia,LINC01929
2483,rs4906338-<b>?</b>,6e-14,schizophrenia,UNKNOWN
366,rs10873538-<b>?</b>,6e-14,schizophrenia,PPP1R13B
25,rs9859557-<b>A</b>,6e-14,schizophrenia,SOX2-OT
669,rs12887734-<b>T</b>,6e-14,schizophrenia,KLC1
669,rs12887734-<b>T</b>,6e-14,schizophrenia,COA8
1061,rs4702-<b>G</b>,8e-14,schizophrenia,FURIN
480,rs6694545-<b>?</b>,8e-14,schizophrenia,UNKNOWN
372,rs11633534-<b>?</b>,8e-14,schizophrenia,LINC00933
372,rs11633534-<b>?</b>,8e-14,schizophrenia,ZSCAN2
599,rs1198589-<b>C</b>,8e-14,schizophrenia,NFU1P2
472,rs1984658-<b>?</b>,9e-14,schizophrenia,PITPNM2
1854,rs114002140-<b>A</b>,9e-14,schizophrenia,HLA-DRB9
802,rs7893279-<b>T</b>,9e-14,schizophrenia,UNKNOWN
413,rs217289-<b>?</b>,1e-13,schizophrenia,SNAP91
1976,rs185053056-<b>?</b>,1e-13,schizophrenia,RPSAP2
1976,rs185053056-<b>?</b>,1e-13,schizophrenia,LINC00533
1932,rs1024582-<b>?</b>,1e-13,schizophrenia,CACNA1C
698,rs4481150-<b>T</b>,1e-13,schizophrenia,ITIH3
523,rs6804239-<b>?</b>,1e-13,schizophrenia,UNKNOWN
261,rs4391122-<b>?</b>,1e-13,schizophrenia,LINC02057
736,rs7596038-<b>C</b>,1e-13,schizophrenia,VRK2
1099,rs75968099-<b>T</b>,1e-13,schizophrenia,LINC02033
1099,rs75968099-<b>T</b>,1e-13,schizophrenia,HSPD1P6
459,rs2073499-<b>?</b>,1e-13,schizophrenia,RASSF1
347,rs302321-<b>?</b>,1e-13,schizophrenia,TMTC1
672,rs67119537-<b>T</b>,1e-13,schizophrenia,RN7SL417P
672,rs67119537-<b>T</b>,1e-13,schizophrenia,DNM1P51
781,rs778371-<b>G</b>,2e-13,schizophrenia,SNORC
2335,rs9636107-<b>G</b>,2e-13,schizophrenia,UNKNOWN
806,rs2577831-<b>C</b>,2e-13,schizophrenia,PBRM1
263,rs75968099-<b>?</b>,2e-13,schizophrenia,LINC02033
263,rs75968099-<b>?</b>,2e-13,schizophrenia,HSPD1P6
2050,rs115374247-<b>?</b>,2e-13,schizophrenia,SUMO2P1
2050,rs115374247-<b>?</b>,2e-13,schizophrenia,MOG
262,rs12887734-<b>?</b>,2e-13,schizophrenia,KLC1
262,rs12887734-<b>?</b>,2e-13,schizophrenia,COA8
389,rs7001340-<b>?</b>,2e-13,schizophrenia,UNKNOWN
94,rs217331-<b>G</b>,2e-13,schizophrenia,SNAP91
386,rs117325001-<b>?</b>,2e-13,schizophrenia,BNIP3L
694,rs2949006-<b>T</b>,2e-13,schizophrenia,UNKNOWN
642,rs9636107-<b>A</b>,2e-13,schizophrenia,UNKNOWN
1059,rs8042374-<b>A</b>,2e-13,schizophrenia,CHRNA3
2334,rs629444-<b>C</b>,2e-13,schizophrenia,H2BP5
2487,rs67119537-<b>?</b>,3.0000000000000003e-13,schizophrenia,RN7SL417P
2487,rs67119537-<b>?</b>,3.0000000000000003e-13,schizophrenia,DNM1P51
2126,rs7951870-<b>?</b>,3.0000000000000003e-13,schizophrenia,UNKNOWN
2023,rs796364-<b>?</b>,3.0000000000000003e-13,schizophrenia,RN7SL717P
2023,rs796364-<b>?</b>,3.0000000000000003e-13,schizophrenia,FTCDNL1
1359,rs13240464-<b>T</b>,3.0000000000000003e-13,schizophrenia,IMMP2L
767,rs55661361-<b>G</b>,4e-13,schizophrenia,NRGN
178,rs1518395-<b>A</b>,4e-13,schizophrenia,VRK2
264,rs9607782-<b>?</b>,4e-13,schizophrenia,EP300-AS1
858,rs35225048-<b>C</b>,4e-13,schizophrenia,UNKNOWN
936,rs9607782-<b>A</b>,4e-13,schizophrenia,EP300-AS1
2127,rs6434928-<b>?</b>,4e-13,schizophrenia,RNU6-1029P
2127,rs6434928-<b>?</b>,4e-13,schizophrenia,SF3B1
2274,rs4391122-<b>A</b>,5e-13,schizophrenia,LINC02057
2154,rs7893279-<b>?</b>,5e-13,schizophrenia,UNKNOWN
2337,rs28681284-<b>C</b>,6.000000000000001e-13,schizophrenia,CHRNA3
59,rs61041384-<b>C</b>,6.000000000000001e-13,schizophrenia,MPHOSPH9
2113,rs748455-<b>?</b>,6.000000000000001e-13,schizophrenia,ZSCAN2
673,rs4702-<b>A</b>,6.000000000000001e-13,schizophrenia,FURIN
2561,rs2859368-<b>?</b>,6.000000000000001e-13,schizophrenia,UNKNOWN
2129,rs11646127-<b>?</b>,6.000000000000001e-13,schizophrenia,TMEM219
1856,rs6461049-<b>T</b>,6.000000000000001e-13,schizophrenia,MAD1L1
697,rs7652637-<b>T</b>,7e-13,schizophrenia,TRANK1
2338,rs1892252-<b>C</b>,7e-13,schizophrenia,SLC17A4
266,rs4129585-<b>?</b>,7e-13,schizophrenia,UNKNOWN
265,rs10750450-<b>?</b>,7e-13,schizophrenia,LINC02551
2546,rs2710323-<b>?</b>,7e-13,schizophrenia,UNKNOWN
1457,rs72934570-<b>C</b>,7e-13,schizophrenia,LINC01416
1457,rs72934570-<b>C</b>,7e-13,schizophrenia,LINC01415
13,rs214467-<b>A</b>,8e-13,schizophrenia,IMMP2L
100,rs3814881-<b>G</b>,8e-13,schizophrenia,TAOK2
28,rs75059851-<b>A</b>,9e-13,schizophrenia,IGSF9B
702,rs13135092-<b>A</b>,9e-13,schizophrenia,SLC39A8
529,rs6874127-<b>?</b>,9e-13,schizophrenia,HCN1
2158,rs62606711-<b>?</b>,1e-12,schizophrenia,PJA1
788,rs112537273-<b>T</b>,1e-12,schizophrenia,LETM2
267,rs9636107-<b>?</b>,1e-12,schizophrenia,UNKNOWN
1840,rs6932590-<b>T</b>,1e-12,schizophrenia,POM121L2
1840,rs6932590-<b>T</b>,1e-12,schizophrenia,PRSS16
671,rs28681284-<b>T</b>,1e-12,schizophrenia,CHRNA3
2112,rs3743078-<b>?</b>,1e-12,schizophrenia,CHRNA3
623,rs58120505-<b>T</b>,1e-12,schizophrenia,UNKNOWN
12,rs2970610-<b>T</b>,1e-12,schizophrenia,UNKNOWN
1219,rs11682175-<b>C</b>,1e-12,schizophrenia,ACTG1P22
416,rs2153960-<b>?</b>,1e-12,schizophrenia,FOXO3
1043,rs10791097-<b>T</b>,1e-12,schizophrenia,UNKNOWN
544,rs28735056-<b>?</b>,1e-12,schizophrenia,KCNG2
380,rs9890128-<b>?</b>,1e-12,schizophrenia,YWHAE
2282,rs1518395-<b>G</b>,1e-12,schizophrenia,VRK2
2131,rs217287-<b>?</b>,1e-12,schizophrenia,SNAP91
445,rs4632296-<b>?</b>,1e-12,schizophrenia,RBKS
445,rs4632296-<b>?</b>,1e-12,schizophrenia,MRPL33
364,rs2190864-<b>?</b>,1e-12,schizophrenia,RGS6
943,rs10791098-<b>T</b>,2e-12,schizophrenia,LINC02551
786,rs73219805-<b>A</b>,2e-12,schizophrenia,BNIP3L
2136,rs2514218-<b>?</b>,2e-12,schizophrenia,DRD2
1008,rs12129573-<b>A</b>,2e-12,schizophrenia,RN7SKP19
1008,rs12129573-<b>A</b>,2e-12,schizophrenia,LINC01360
2133,rs5757730-<b>?</b>,2e-12,schizophrenia,CACNA1I
1991,rs13218591-<b>?</b>,2e-12,schizophrenia,BTN3A2
1047,rs12826178-<b>G</b>,2e-12,schizophrenia,NXPH4
1047,rs12826178-<b>G</b>,2e-12,schizophrenia,SHMT2
2135,rs35346733-<b>?</b>,2e-12,schizophrenia,CNTN4
2038,rs72799198-<b>?</b>,2e-12,schizophrenia,LINC01470
7,rs2057884-<b>T</b>,2e-12,schizophrenia,SRPK2
334,rs7926389-<b>?</b>,2e-12,schizophrenia,ARHGAP1
1248,rs13107325-<b>T</b>,2e-12,schizophrenia,SLC39A8
268,rs13240464-<b>?</b>,2e-12,schizophrenia,IMMP2L
269,rs301797-<b>?</b>,2e-12,schizophrenia,RERE-AS1
269,rs301797-<b>?</b>,2e-12,schizophrenia,RERE
1899,rs2021722-<b>C</b>,2e-12,schizophrenia,TRIM26
1022,rs6704768-<b>G</b>,2e-12,schizophrenia,GIGYF2
2027,rs4481150-<b>?</b>,2e-12,schizophrenia,ITIH3
1017,rs11693094-<b>C</b>,2e-12,schizophrenia,ZNF804A
1857,rs1198588-<b>T</b>,2e-12,schizophrenia,NFU1P2
1079,rs1378559-<b>T</b>,2e-12,schizophrenia,CNKSR2
345,rs3802924-<b>?</b>,2e-12,schizophrenia,IGSF9B
345,rs3802924-<b>?</b>,2e-12,schizophrenia,LINC02730
56,rs17630293-<b>T</b>,3e-12,schizophrenia,SPATS2L
2554,rs79249301-<b>?</b>,3e-12,schizophrenia,UNKNOWN
2137,rs17514846-<b>?</b>,3e-12,schizophrenia,FURIN
76,rs17687067-<b>C</b>,3e-12,schizophrenia,ZDHHC2
816,rs1150754-<b>C</b>,3e-12,schizophrenia,TNXB
540,rs72934570-<b>?</b>,3e-12,schizophrenia,LINC01416
540,rs72934570-<b>?</b>,3e-12,schizophrenia,LINC01415
2041,rs215011-<b>?</b>,3e-12,schizophrenia,CMAHP
2041,rs215011-<b>?</b>,3e-12,schizophrenia,CARMIL1
270,rs8043009-<b>?</b>,3e-12,schizophrenia,CHRNA3
2139,rs34796896-<b>?</b>,3e-12,schizophrenia,FXR1
2551,rs6449529-<b>?</b>,3e-12,schizophrenia,UNKNOWN
370,rs28681284-<b>?</b>,3e-12,schizophrenia,CHRNA3
2111,rs61637848-<b>?</b>,3e-12,schizophrenia,KLC1
6,rs3735025-<b>T</b>,4e-12,schizophrenia,DGKI
819,rs111312615-<b>T</b>,4e-12,schizophrenia,HLA-A
819,rs111312615-<b>T</b>,4e-12,schizophrenia,HLA-W
689,rs11682175-<b>T</b>,4e-12,schizophrenia,ACTG1P22
818,rs114377514-<b>C</b>,4e-12,schizophrenia,HLA-DOB
818,rs114377514-<b>C</b>,4e-12,schizophrenia,HLA-DQB2
271,rs11682175-<b>?</b>,4e-12,schizophrenia,ACTG1P22
272,rs55661361-<b>?</b>,4e-12,schizophrenia,NRGN
2116,rs36043959-<b>?</b>,4e-12,schizophrenia,SGCZ
1320,rs9461856-<b>A</b>,4e-12,schizophrenia,SYNGAP1
2140,rs7432375-<b>?</b>,4e-12,schizophrenia,STAG1
498,rs7605813-<b>?</b>,5e-12,schizophrenia,HSPE1-MOB4
498,rs7605813-<b>?</b>,5e-12,schizophrenia,HSPD1
1858,rs1006737-<b>A</b>,5e-12,schizophrenia,CACNA1C
369,rs35225048-<b>?</b>,5e-12,schizophrenia,UNKNOWN
73,rs950169-<b>C</b>,5e-12,schizophrenia,ADAMTSL3
946,rs38752-<b>T</b>,5e-12,schizophrenia,IMMP2L
2142,rs1451488-<b>?</b>,5e-12,schizophrenia,RNU7-147P
478,rs172531-<b>?</b>,5e-12,schizophrenia,RERE
80,rs715170-<b>C</b>,5e-12,schizophrenia,LINC01539
80,rs715170-<b>C</b>,5e-12,schizophrenia,LINC01905
821,rs114508985-<b>G</b>,5e-12,schizophrenia,HLA-DMB
821,rs114508985-<b>G</b>,5e-12,schizophrenia,HLA-Z
91,rs11685299-<b>C</b>,5e-12,schizophrenia,CUL3
273,rs778371-<b>?</b>,5e-12,schizophrenia,SNORC
1953,rs2103655-<b>?</b>,5e-12,schizophrenia,PPP1R16B
1953,rs2103655-<b>?</b>,5e-12,schizophrenia,ACTR5
504,rs17164-<b>?</b>,5e-12,schizophrenia,GIGYF2
2485,rs1700006-<b>?</b>,5e-12,schizophrenia,UNKNOWN
348,rs61937595-<b>?</b>,6e-12,schizophrenia,R3HDM2
490,rs4132385-<b>?</b>,6e-12,schizophrenia,ZSWIM6
490,rs4132385-<b>?</b>,6e-12,schizophrenia,LINC02057
2537,rs4380187-<b>?</b>,6e-12,schizophrenia,UNKNOWN
378,rs3814881-<b>?</b>,7e-12,schizophrenia,TAOK2
2120,rs4648845-<b>?</b>,7e-12,schizophrenia,PLCH2
640,rs3814883-<b>T</b>,7e-12,schizophrenia,TAOK2
67,rs61882743-<b>G</b>,7e-12,schizophrenia,AMBRA1
1883,rs1635-<b>?</b>,7e-12,schizophrenia,NKAPL
2144,rs2905432-<b>?</b>,7e-12,schizophrenia,MAU2
2144,rs2905432-<b>?</b>,7e-12,schizophrenia,GATAD2A
2121,rs11783093-<b>?</b>,8e-12,schizophrenia,GULOP
691,rs4380187-<b>A</b>,8e-12,schizophrenia,UNKNOWN
692,rs4685-<b>T</b>,8e-12,schizophrenia,SF3B1
2052,rs169738-<b>?</b>,8e-12,schizophrenia,GGNBP1
2147,rs111294930-<b>?</b>,9e-12,schizophrenia,LINC01470
427,rs2057884-<b>?</b>,1e-11,schizophrenia,SRPK2
992,rs6434928-<b>G</b>,1e-11,schizophrenia,RNU6-1029P
992,rs6434928-<b>G</b>,1e-11,schizophrenia,SF3B1
557,rs6633421-<b>?</b>,1e-11,schizophrenia,CNKSR2
1074,rs6065094-<b>G</b>,1e-11,schizophrenia,UNKNOWN
654,rs2514218-<b>T</b>,1e-11,schizophrenia,DRD2
1884,rs11038167-<b>?</b>,1e-11,schizophrenia,TSPAN18
1259,rs17194490-<b>T</b>,1e-11,schizophrenia,CNTN4
2123,rs62334820-<b>?</b>,1e-11,schizophrenia,GPM6A
2150,rs2970610-<b>?</b>,1e-11,schizophrenia,UNKNOWN
2149,rs56807175-<b>?</b>,1e-11,schizophrenia,UNKNOWN
2211,rs3617-<b>?</b>,1e-11,schizophrenia,ITIH3
2084,rs760648-<b>?</b>,1e-11,schizophrenia,TCF20
424,rs13230421-<b>?</b>,2e-11,schizophrenia,GRM3
424,rs13230421-<b>?</b>,2e-11,schizophrenia,GRM3-AS1
2025,rs17194490-<b>?</b>,2e-11,schizophrenia,CNTN4
277,rs2565164-<b>?</b>,2e-11,schizophrenia,COQ10B
275,rs7427564-<b>?</b>,2e-11,schizophrenia,STAG1
1909,rs1625579-<b>T</b>,2e-11,schizophrenia,MIR137HG
747,rs7597593-<b>T</b>,2e-11,schizophrenia,ZNF804A
2359,rs57016637-<b>G</b>,2e-11,schizophrenia,PES1
706,rs9398171-<b>C</b>,2e-11,schizophrenia,FOXO3
2087,rs10946817-<b>?</b>,2e-11,schizophrenia,BTN3A2
2087,rs10946817-<b>?</b>,2e-11,schizophrenia,H3C9P
1658,rs3788567-<b>T</b>,2e-11,schizophrenia,CACNA1I
2539,rs4685-<b>?</b>,2e-11,schizophrenia,SF3B1
280,rs926231-<b>?</b>,2e-11,schizophrenia,CACNA1I
1951,rs72936314-<b>?</b>,2e-11,schizophrenia,LINC01416
2152,rs35774874-<b>?</b>,2e-11,schizophrenia,SNX19
2152,rs35774874-<b>?</b>,2e-11,schizophrenia,RN7SL167P
2151,rs16867576-<b>?</b>,2e-11,schizophrenia,MEF2C-AS1
1774,rs2535627-<b>T</b>,2e-11,schizophrenia,ITIH3
1774,rs2535627-<b>T</b>,2e-11,schizophrenia,ITIH4
105,rs302321-<b>C</b>,2e-11,schizophrenia,TMTC1
2544,rs66610175-<b>?</b>,2e-11,schizophrenia,UNKNOWN
824,rs7907645-<b>T</b>,2e-11,schizophrenia,TRIM8
824,rs7907645-<b>T</b>,2e-11,schizophrenia,ARL3
1816,rs17693963-<b>?</b>,3e-11,schizophrenia,GPR89P
1816,rs17693963-<b>?</b>,3e-11,schizophrenia,RSL24D1P1
825,rs5995756-<b>T</b>,3e-11,schizophrenia,UNKNOWN
543,rs1792709-<b>?</b>,3e-11,schizophrenia,LINC01905
543,rs1792709-<b>?</b>,3e-11,schizophrenia,LINC01539
2128,rs1473594-<b>?</b>,3e-11,schizophrenia,UNKNOWN
1040,rs2514218-<b>C</b>,3e-11,schizophrenia,DRD2
1999,rs210155-<b>?</b>,3e-11,schizophrenia,GGNBP1
1032,rs36068923-<b>G</b>,3e-11,schizophrenia,SINHCAFP3
508,rs3732386-<b>?</b>,3e-11,schizophrenia,TRANK1
503,rs11685299-<b>?</b>,3e-11,schizophrenia,CUL3
